ID,,Timestamp,,Packet,AS7265X,,,,,,,,,,,,,,,,,,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
name,instance,date,time,Number,a,b,c,d,e,f,g,h,i,j,k,l,r,s,t,u,v,w,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
Device,1,2021/1/18,23:12:45,17,82,76,110,90,90,85,67,86,64,87,129,67,141,171,235,271,369,396,1,0.40,0.60,0.42,0.39,0.14,0.66,
Device,1,2021/1/18,23:12:47,18,77,70,104,85,86,79,63,81,60,83,123,63,132,163,219,255,356,380,1,0.40,0.60,0.42,0.39,0.15,0.67,
Device,1,2021/1/18,23:12:49,19,72,66,98,80,80,74,59,76,56,77,116,59,124,152,206,238,336,352,1,0.40,0.61,0.42,0.39,0.15,0.67,
Device,1,2021/1/18,23:12:51,20,83,67,94,104,99,82,84,117,79,80,114,58,208,147,215,244,396,383,1,0.42,0.80,0.42,0.40,0.18,0.71,
Device,1,2021/1/18,23:12:53,21,88,71,104,110,106,86,89,124,85,84,124,63,223,160,231,261,426,403,1,0.41,0.78,0.42,0.40,0.18,0.71,
Device,1,2021/1/18,23:12:55,22,88,71,104,109,106,86,89,123,85,84,124,63,221,161,230,261,428,404,1,0.42,0.77,0.42,0.40,0.18,0.72,
Device,1,2021/1/18,23:12:57,23,89,83,108,101,124,141,113,135,85,113,153,75,206,205,278,345,467,484,1,0.48,0.61,0.42,0.46,0.15,0.70,
Device,1,2021/1/18,23:12:59,24,94,92,135,98,121,143,81,125,88,113,169,87,194,237,311,378,453,454,1,0.43,0.46,0.42,0.41,0.12,0.66,
Device,1,2021/1/18,23:13:1,25,91,90,133,92,115,135,72,115,83,105,164,85,178,225,302,367,424,424,1,0.42,0.45,0.42,0.40,0.12,0.65,
Device,1,2021/1/18,23:13:3,26,92,91,134,91,114,135,70,113,83,105,164,85,174,226,304,368,417,417,1,0.41,0.44,0.42,0.39,0.11,0.64,
Device,1,2021/1/18,23:13:4,27,84,74,102,100,119,120,109,130,81,100,143,63,197,187,239,296,450,448,1,0.47,0.65,0.42,0.45,0.16,0.72,
Device,1,2021/1/18,23:13:6,28,88,83,115,100,120,134,105,130,83,107,152,76,203,207,277,337,450,462,1,0.46,0.57,0.42,0.44,0.14,0.69,
Device,1,2021/1/18,23:13:8,29,88,82,112,100,120,132,106,130,83,106,151,74,201,203,273,333,450,461,1,0.46,0.59,0.42,0.44,0.15,0.69,
Device,1,2021/1/18,23:13:10,30,90,83,113,103,124,137,111,135,86,109,154,75,209,209,279,340,462,473,1,0.47,0.58,0.42,0.44,0.14,0.70,
Device,1,2021/1/18,23:13:12,31,90,83,112,103,124,136,112,135,86,109,154,74,211,208,278,339,464,474,1,0.47,0.59,0.42,0.45,0.15,0.70,
Device,1,2021/1/18,23:13:14,32,91,92,129,90,123,142,71,106,85,109,163,86,159,236,297,375,458,423,1,0.44,0.47,0.42,0.42,0.13,0.67,
Device,1,2021/1/18,23:13:16,33,85,78,115,87,89,85,65,86,63,87,133,70,136,173,235,276,376,406,1,0.40,0.61,0.42,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:18,34,88,80,116,92,95,88,70,93,66,93,143,73,144,177,248,292,413,441,1,0.42,0.67,0.42,0.41,0.16,0.68,
Device,1,2021/1/18,23:13:20,35,86,78,115,89,91,85,67,89,64,89,136,70,139,173,238,278,393,417,1,0.40,0.65,0.42,0.40,0.16,0.67,
Device,1,2021/1/18,23:13:22,36,92,90,138,94,111,144,77,118,80,112,168,86,179,236,301,373,405,447,1,0.41,0.37,0.42,0.39,0.10,0.64,
Device,1,2021/1/18,23:13:24,37,83,76,102,99,120,140,117,131,77,112,149,66,188,203,244,317,455,486,1,0.49,0.57,0.42,0.47,0.15,0.71,
Device,1,2021/1/18,23:13:26,38,87,82,119,98,120,144,109,128,81,114,156,75,190,221,270,341,448,480,1,0.47,0.49,0.42,0.44,0.13,0.69,
Device,1,2021/1/18,23:13:27,39,88,83,119,99,121,146,112,131,82,115,158,76,194,224,274,346,454,487,1,0.47,0.49,0.42,0.44,0.13,0.69,
Device,1,2021/1/18,23:13:29,40,87,82,116,99,121,144,112,131,81,115,158,75,194,221,270,344,456,487,1,0.47,0.50,0.42,0.45,0.13,0.70,
Device,1,2021/1/18,23:13:31,41,84,77,118,87,87,84,65,87,62,87,131,70,136,172,236,274,362,412,1,0.39,0.58,0.42,0.38,0.14,0.65,
Device,1,2021/1/18,23:13:33,42,88,80,116,91,94,88,69,92,66,93,147,75,142,179,253,300,415,451,1,0.42,0.66,0.42,0.42,0.16,0.68,
Device,1,2021/1/18,23:13:35,43,89,80,117,92,97,88,70,93,69,93,147,75,145,182,253,298,422,447,1,0.42,0.66,0.42,0.41,0.16,0.68,
