ID,,Timestamp,,Packet,AS7265X,,,,,,,,,,,,,,,,,,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
name,instance,date,time,Number,a,b,c,d,e,f,g,h,i,j,k,l,r,s,t,u,v,w,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
Device,1,2021/1/18,23:12:46,17,108,102,145,123,125,119,95,119,91,123,161,90,204,249,314,346,460,495,1,0.38,0.44,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:12:48,18,108,103,145,123,125,119,95,119,92,123,161,90,204,249,314,347,460,495,1,0.38,0.45,0.40,0.37,0.11,0.63,
Device,1,2021/1/18,23:12:50,19,108,102,145,123,124,119,95,119,92,122,161,90,205,249,314,346,460,495,1,0.38,0.44,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:12:52,20,106,101,146,115,120,113,89,113,89,118,161,92,194,244,316,351,447,481,1,0.38,0.44,0.40,0.37,0.11,0.63,
Device,1,2021/1/18,23:12:53,21,89,84,128,99,104,103,77,100,66,106,167,85,149,205,284,361,480,495,1,0.45,0.64,0.40,0.44,0.16,0.70,
Device,1,2021/1/18,23:12:55,22,92,87,132,103,106,106,78,102,69,107,172,90,157,205,306,383,483,490,1,0.44,0.65,0.40,0.43,0.16,0.69,
Device,1,2021/1/18,23:12:57,23,92,87,132,102,106,106,78,102,69,107,172,90,157,205,305,382,483,490,1,0.44,0.65,0.40,0.43,0.16,0.69,
Device,1,2021/1/18,23:12:59,24,92,87,132,102,105,106,78,102,69,107,172,90,157,205,305,382,482,489,1,0.44,0.65,0.40,0.43,0.16,0.69,
Device,1,2021/1/18,23:13:1,25,111,105,151,128,130,123,98,124,96,127,168,91,214,260,323,362,483,512,1,0.38,0.44,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:13:3,26,111,105,150,127,130,122,97,123,95,126,168,91,214,258,323,361,481,510,1,0.38,0.45,0.40,0.37,0.12,0.64,
Device,1,2021/1/18,23:13:5,27,111,105,149,127,129,122,97,123,94,126,167,91,213,256,322,360,479,509,1,0.38,0.45,0.40,0.37,0.12,0.64,
Device,1,2021/1/18,23:13:7,28,109,103,148,125,128,120,96,121,94,124,166,90,207,254,318,353,475,504,1,0.38,0.45,0.40,0.37,0.12,0.64,
Device,1,2021/1/18,23:13:9,29,88,84,127,98,104,103,77,99,66,106,164,82,147,206,276,349,482,495,1,0.45,0.63,0.40,0.44,0.16,0.70,
Device,1,2021/1/18,23:13:11,30,88,84,126,98,103,103,77,99,66,106,161,82,147,207,275,347,481,495,1,0.45,0.63,0.40,0.44,0.16,0.70,
Device,1,2021/1/18,23:13:12,31,88,83,126,98,103,102,77,99,66,106,161,82,147,207,275,346,481,494,1,0.45,0.62,0.40,0.44,0.16,0.71,
Device,1,2021/1/18,23:13:14,32,93,87,129,103,104,105,77,102,67,105,169,92,159,202,314,387,478,470,1,0.44,0.66,0.40,0.43,0.16,0.69,
Device,1,2021/1/18,23:13:16,33,107,102,144,122,124,118,95,119,91,122,160,89,204,247,312,345,458,495,1,0.38,0.45,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:13:18,34,107,102,144,122,124,118,95,119,91,122,160,89,203,247,312,345,458,494,1,0.38,0.45,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:13:20,35,107,102,144,122,124,118,95,119,91,122,160,89,203,247,312,345,458,494,1,0.38,0.45,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:13:22,36,102,94,135,114,117,103,84,110,89,106,155,88,190,223,298,335,448,456,1,0.38,0.52,0.40,0.38,0.13,0.65,
Device,1,2021/1/18,23:13:24,37,95,89,135,104,106,105,77,103,73,104,171,93,164,201,319,390,467,461,1,0.42,0.66,0.40,0.41,0.16,0.68,
Device,1,2021/1/18,23:13:26,38,94,88,134,103,105,105,77,102,71,105,171,92,161,201,313,387,473,472,1,0.43,0.67,0.40,0.42,0.16,0.69,
Device,1,2021/1/18,23:13:28,39,94,88,133,103,105,105,77,102,70,105,171,91,161,201,313,386,473,473,1,0.43,0.67,0.40,0.42,0.16,0.69,
Device,1,2021/1/18,23:13:30,40,97,92,136,108,108,102,79,106,75,101,171,93,176,199,307,374,445,433,1,0.39,0.65,0.40,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:32,41,108,102,144,123,125,119,96,120,92,123,161,89,206,250,312,347,461,496,1,0.38,0.44,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:13:34,42,107,101,143,122,124,118,95,118,91,122,159,89,203,247,310,344,457,490,1,0.38,0.44,0.40,0.37,0.11,0.64,
