ID,,Timestamp,,Packet,AS7265X,,,,,,,,,,,,,,,,,,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
name,instance,date,time,Number,a,b,c,d,e,f,g,h,i,j,k,l,r,s,t,u,v,w,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
Device,1,2021/1/18,23:12:46,17,91,85,124,99,101,96,75,97,71,99,143,77,157,194,263,302,405,440,1,0.39,0.57,0.41,0.39,0.14,0.65,
Device,1,2021/1/18,23:12:48,18,91,85,124,99,101,96,76,97,71,99,143,77,157,195,263,303,406,441,1,0.40,0.56,0.41,0.39,0.14,0.65,
Device,1,2021/1/18,23:12:50,19,91,82,117,97,97,89,71,94,69,92,138,76,154,175,261,297,399,425,1,0.40,0.67,0.41,0.39,0.15,0.66,
Device,1,2021/1/18,23:12:52,20,91,85,124,99,101,96,75,96,71,98,143,77,156,194,263,302,405,440,1,0.39,0.57,0.41,0.39,0.14,0.65,
Device,1,2021/1/18,23:12:53,21,91,85,125,97,100,95,74,94,70,97,143,78,154,193,264,304,403,437,1,0.39,0.57,0.41,0.39,0.14,0.65,
Device,1,2021/1/18,23:12:55,22,83,78,119,90,91,86,65,87,62,86,147,78,138,169,248,315,399,417,1,0.41,0.69,0.41,0.40,0.16,0.67,
Device,1,2021/1/18,23:12:57,23,83,78,118,89,90,86,65,87,62,85,146,77,137,168,245,313,397,415,1,0.41,0.70,0.41,0.41,0.16,0.67,
Device,1,2021/1/18,23:12:59,24,83,77,118,89,90,86,64,87,62,85,146,77,137,168,245,313,397,415,1,0.41,0.69,0.41,0.41,0.16,0.68,
Device,1,2021/1/18,23:13:1,25,83,78,119,89,90,86,65,87,62,85,146,77,137,168,245,313,397,415,1,0.41,0.70,0.41,0.40,0.16,0.67,
Device,1,2021/1/18,23:13:3,26,87,81,120,91,90,87,64,86,63,86,147,80,137,173,265,321,399,415,1,0.40,0.68,0.41,0.40,0.16,0.66,
