ID,,Timestamp,,Packet,AS7265X,,,,,,,,,,,,,,,,,,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
name,instance,date,time,Number,a,b,c,d,e,f,g,h,i,j,k,l,r,s,t,u,v,w,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
Device,1,2021/1/18,23:12:45,17,104,97,141,112,114,108,86,110,85,112,155,90,184,231,304,335,431,460,1,0.37,0.46,0.42,0.37,0.11,0.63,
Device,1,2021/1/18,23:12:47,18,104,97,141,113,114,108,87,111,85,113,156,91,186,231,304,336,433,461,1,0.37,0.46,0.42,0.37,0.12,0.63,
Device,1,2021/1/18,23:12:49,19,104,94,134,114,115,104,84,111,86,110,156,89,188,221,301,331,446,466,1,0.39,0.53,0.42,0.38,0.13,0.65,
Device,1,2021/1/18,23:12:51,20,94,88,132,100,105,105,77,101,68,109,169,90,150,212,299,366,488,494,1,0.44,0.63,0.42,0.43,0.16,0.69,
Device,1,2021/1/18,23:12:53,21,93,87,132,100,105,105,77,101,68,109,169,90,150,213,297,364,488,494,1,0.44,0.62,0.42,0.43,0.16,0.70,
Device,1,2021/1/18,23:12:55,22,96,89,134,102,105,106,76,101,69,106,173,96,157,209,320,387,483,472,1,0.43,0.64,0.42,0.42,0.16,0.69,
Device,1,2021/1/18,23:12:57,23,105,99,141,118,118,113,91,116,87,118,157,90,196,236,306,338,446,479,1,0.38,0.47,0.42,0.37,0.12,0.64,
Device,1,2021/1/18,23:12:58,24,114,107,148,128,129,123,100,126,95,129,169,96,215,256,330,367,484,525,1,0.39,0.47,0.42,0.38,0.12,0.64,
Device,1,2021/1/18,23:13:0,25,113,107,152,123,126,118,95,120,94,124,171,99,206,253,336,370,475,509,1,0.38,0.47,0.42,0.37,0.12,0.63,
Device,1,2021/1/18,23:13:2,26,100,93,142,106,111,110,80,106,76,113,181,97,162,222,331,393,496,497,1,0.42,0.61,0.42,0.42,0.15,0.68,
Device,1,2021/1/18,23:13:4,27,99,91,136,105,110,108,81,106,72,113,175,94,159,223,320,382,512,505,1,0.44,0.62,0.42,0.43,0.16,0.70,
Device,1,2021/1/18,23:13:6,28,98,91,135,105,110,108,81,106,72,113,172,93,158,223,316,377,512,505,1,0.44,0.62,0.42,0.43,0.16,0.70,
Device,1,2021/1/18,23:13:8,29,114,107,147,122,125,118,92,120,95,123,173,100,205,248,340,373,473,497,1,0.38,0.49,0.42,0.37,0.12,0.63,
Device,1,2021/1/18,23:13:10,30,114,107,152,125,127,120,98,124,95,126,169,98,209,256,334,366,479,509,1,0.38,0.46,0.42,0.37,0.12,0.63,
Device,1,2021/1/18,23:13:12,31,106,98,142,114,116,105,83,110,87,107,161,102,186,219,343,390,458,460,1,0.39,0.58,0.42,0.38,0.14,0.65,
Device,1,2021/1/18,23:13:13,32,100,92,137,106,111,110,81,106,73,114,176,95,162,225,327,387,512,502,1,0.44,0.61,0.42,0.43,0.16,0.70,
Device,1,2021/1/18,23:13:15,33,100,92,137,106,111,109,81,106,73,114,175,95,162,225,324,384,513,503,1,0.43,0.61,0.42,0.43,0.16,0.70,
Device,1,2021/1/18,23:13:17,34,100,92,136,106,111,109,81,106,73,114,176,95,161,225,323,384,513,502,1,0.44,0.61,0.42,0.43,0.16,0.70,
Device,1,2021/1/18,23:13:19,35,106,96,143,111,111,109,80,109,77,109,182,103,175,222,356,413,498,463,1,0.41,0.62,0.42,0.40,0.15,0.68,
Device,1,2021/1/18,23:13:21,36,115,108,154,127,127,122,99,125,96,128,174,100,213,258,339,372,477,520,1,0.38,0.45,0.42,0.37,0.11,0.63,
Device,1,2021/1/18,23:13:23,37,116,108,155,129,133,125,102,128,98,131,174,99,217,264,339,372,495,529,1,0.38,0.45,0.42,0.37,0.12,0.64,
Device,1,2021/1/18,23:13:25,38,116,108,155,128,131,124,101,127,97,130,174,100,216,262,340,373,491,528,1,0.38,0.46,0.42,0.37,0.12,0.64,
Device,1,2021/1/18,23:13:26,39,115,108,155,128,131,124,101,127,97,130,174,100,216,262,340,373,491,528,1,0.38,0.46,0.42,0.37,0.12,0.64,
Device,1,2021/1/18,23:13:28,40,116,108,155,128,131,124,101,127,98,130,174,100,216,262,340,373,491,527,1,0.38,0.46,0.42,0.37,0.12,0.64,
Device,1,2021/1/18,23:13:30,41,116,108,156,129,131,124,101,127,98,130,174,100,216,263,341,374,492,528,1,0.38,0.45,0.42,0.37,0.12,0.64,
Device,1,2021/1/18,23:13:32,42,116,108,156,129,131,124,101,127,98,130,174,100,216,263,340,373,491,527,1,0.38,0.45,0.42,0.37,0.11,0.64,
Device,1,2021/1/18,23:13:34,43,116,108,155,128,131,124,101,127,98,130,174,100,216,262,340,373,490,526,1,0.38,0.45,0.42,0.37,0.12,0.64,
Device,1,2021/1/18,23:13:36,44,115,108,155,128,131,124,101,127,98,130,174,100,215,262,340,373,491,526,1,0.38,0.46,0.42,0.37,0.12,0.64,
Device,1,2021/1/18,23:13:38,45,116,108,156,128,131,124,101,127,98,130,174,100,215,263,340,373,490,526,1,0.38,0.45,0.42,0.37,0.11,0.64,
