ID,,Timestamp,,Packet,AS7265X,,,,,,,,,,,,,,,,,,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
name,instance,date,time,Number,a,b,c,d,e,f,g,h,i,j,k,l,r,s,t,u,v,w,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
Device,1,2021/1/18,23:12:46,17,82,76,111,88,89,85,68,85,63,87,126,67,139,171,232,268,355,387,1,0.39,0.57,0.41,0.38,0.14,0.65,
Device,1,2021/1/18,23:12:48,18,82,76,111,88,89,85,68,85,63,87,126,67,139,171,232,267,355,385,1,0.39,0.57,0.41,0.38,0.14,0.65,
Device,1,2021/1/18,23:12:50,19,83,76,111,87,88,82,64,84,63,84,128,67,138,170,236,269,350,383,1,0.39,0.56,0.41,0.38,0.13,0.64,
Device,1,2021/1/18,23:12:52,20,74,69,106,81,81,77,59,78,55,76,129,67,123,151,217,277,352,371,1,0.41,0.68,0.41,0.40,0.16,0.67,
Device,1,2021/1/18,23:12:53,21,74,69,107,82,81,77,59,78,56,76,128,67,124,149,218,276,350,366,1,0.40,0.69,0.41,0.39,0.16,0.67,
Device,1,2021/1/18,23:12:55,22,76,71,107,83,83,77,60,79,57,76,126,68,128,148,219,271,339,356,1,0.39,0.69,0.41,0.38,0.15,0.65,
Device,1,2021/1/18,23:12:57,23,76,71,107,84,83,77,60,79,57,76,126,68,128,148,222,273,340,359,1,0.39,0.69,0.41,0.38,0.15,0.65,
Device,1,2021/1/18,23:12:59,24,79,73,109,83,82,79,59,78,57,77,128,70,124,156,237,284,354,369,1,0.40,0.67,0.41,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:1,25,79,73,108,84,83,78,60,79,58,77,128,70,129,151,236,278,350,360,1,0.39,0.70,0.41,0.39,0.16,0.65,
Device,1,2021/1/18,23:13:3,26,81,74,110,83,82,79,59,78,57,77,128,71,124,156,243,283,353,356,1,0.39,0.67,0.41,0.38,0.15,0.65,
Device,1,2021/1/18,23:13:5,27,81,75,109,83,83,79,60,79,58,79,129,70,124,162,245,284,357,359,1,0.39,0.64,0.41,0.39,0.15,0.65,
Device,1,2021/1/18,23:13:7,28,81,74,110,84,83,79,60,79,58,77,129,71,125,158,244,285,357,361,1,0.39,0.66,0.41,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:9,29,81,74,109,84,83,79,59,78,57,77,129,71,125,158,243,284,356,358,1,0.39,0.66,0.41,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:11,30,79,72,107,85,82,77,60,79,58,76,126,68,130,150,232,273,345,357,1,0.39,0.69,0.41,0.38,0.15,0.65,
Device,1,2021/1/18,23:13:12,31,79,73,108,84,83,78,59,78,58,77,127,70,128,152,237,281,353,364,1,0.39,0.70,0.41,0.39,0.16,0.66,
Device,1,2021/1/18,23:13:14,32,79,73,109,84,82,79,59,78,57,77,128,70,125,155,237,283,355,371,1,0.40,0.68,0.41,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:16,33,77,70,104,82,80,77,58,76,56,75,124,67,122,151,230,274,346,360,1,0.40,0.67,0.41,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:18,34,78,70,104,81,80,76,57,76,56,75,124,67,121,155,235,273,345,347,1,0.40,0.63,0.41,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:20,35,76,70,103,80,80,77,57,76,55,77,123,66,120,156,231,270,343,348,1,0.40,0.62,0.41,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:22,36,77,70,104,81,80,77,58,76,55,76,124,67,121,155,233,273,343,350,1,0.40,0.63,0.41,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:24,37,79,72,107,82,81,78,58,77,57,76,127,69,123,158,239,279,350,355,1,0.39,0.63,0.41,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:26,38,79,72,107,82,81,78,58,77,57,76,127,68,122,158,238,278,350,355,1,0.39,0.63,0.41,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:28,39,79,72,106,81,81,78,58,77,57,77,127,68,122,158,238,278,350,355,1,0.40,0.63,0.41,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:30,40,82,75,110,85,84,81,60,80,59,79,131,71,128,163,247,288,360,366,1,0.39,0.63,0.41,0.39,0.15,0.66,
Device,1,2021/1/18,23:13:32,41,82,75,111,85,84,81,60,80,59,79,131,71,128,163,246,289,362,367,1,0.39,0.64,0.41,0.39,0.15,0.66,
