ID,,Timestamp,,Packet,AS7265X,,,,,,,,,,,,,,,,,,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
name,instance,date,time,Number,a,b,c,d,e,f,g,h,i,j,k,l,r,s,t,u,v,w,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
Device,1,2021/1/18,23:12:46,17,96,91,133,105,107,103,81,102,77,105,149,82,170,211,278,317,415,454,1,0.38,0.51,0.40,0.38,0.13,0.64,
Device,1,2021/1/18,23:12:48,18,96,91,133,105,108,103,81,102,77,105,149,82,170,211,279,317,416,455,1,0.38,0.51,0.40,0.38,0.13,0.64,
Device,1,2021/1/18,23:12:49,19,96,91,133,106,108,103,81,103,77,105,149,82,170,211,279,317,418,456,1,0.38,0.52,0.40,0.38,0.13,0.64,
Device,1,2021/1/18,23:12:51,20,96,92,133,106,108,103,81,103,77,105,150,82,170,211,279,318,418,456,1,0.38,0.52,0.40,0.38,0.13,0.64,
Device,1,2021/1/18,23:12:53,21,93,87,125,99,102,91,73,97,73,91,143,84,159,187,276,316,409,416,1,0.39,0.63,0.40,0.38,0.15,0.65,
Device,1,2021/1/18,23:12:55,22,88,83,124,96,100,96,73,96,66,98,156,83,147,187,273,333,444,463,1,0.43,0.68,0.40,0.42,0.16,0.69,
Device,1,2021/1/18,23:12:57,23,88,83,124,96,100,96,73,96,66,98,155,82,147,187,273,333,444,464,1,0.43,0.68,0.40,0.42,0.16,0.69,
Device,1,2021/1/18,23:12:59,24,89,83,124,97,100,96,73,96,66,98,156,83,147,187,274,334,445,464,1,0.43,0.68,0.40,0.42,0.16,0.69,
Device,1,2021/1/18,23:13:1,25,89,83,124,97,100,96,73,96,66,98,156,83,147,187,274,334,446,465,1,0.43,0.68,0.40,0.42,0.16,0.69,
Device,1,2021/1/18,23:13:3,26,96,88,126,103,102,97,77,101,73,99,144,81,167,189,278,316,412,444,1,0.39,0.63,0.40,0.38,0.14,0.65,
Device,1,2021/1/18,23:13:5,27,98,91,131,107,109,104,82,105,78,107,149,81,173,213,279,319,424,459,1,0.39,0.52,0.40,0.38,0.13,0.65,
Device,1,2021/1/18,23:13:7,28,98,92,131,107,109,103,83,104,78,107,149,81,173,212,279,320,424,459,1,0.39,0.53,0.40,0.38,0.13,0.64,
Device,1,2021/1/18,23:13:8,29,99,92,134,102,105,101,77,101,76,103,152,85,166,209,292,328,412,451,1,0.38,0.52,0.40,0.38,0.12,0.63,
Device,1,2021/1/18,23:13:10,30,87,82,122,95,99,95,74,95,65,98,157,82,145,185,263,329,443,480,1,0.44,0.69,0.40,0.43,0.16,0.69,
Device,1,2021/1/18,23:13:12,31,87,82,122,95,99,95,74,95,65,98,157,82,144,184,263,329,444,481,1,0.44,0.70,0.40,0.43,0.17,0.69,
Device,1,2021/1/18,23:13:14,32,87,82,122,95,99,95,74,95,65,98,157,82,144,185,263,330,445,484,1,0.44,0.69,0.40,0.43,0.16,0.69,
Device,1,2021/1/18,23:13:16,33,92,86,132,99,99,94,74,97,70,95,159,83,157,191,270,319,408,432,1,0.38,0.60,0.40,0.38,0.14,0.65,
Device,1,2021/1/18,23:13:18,34,96,90,131,103,105,100,79,101,75,102,148,82,165,205,279,317,414,446,1,0.39,0.54,0.40,0.38,0.13,0.64,
Device,1,2021/1/18,23:13:20,35,96,90,131,103,105,100,79,100,75,102,148,82,165,205,279,317,414,446,1,0.39,0.54,0.40,0.38,0.13,0.64,
Device,1,2021/1/18,23:13:22,36,91,86,129,99,102,94,73,97,72,94,148,85,155,191,272,334,416,429,1,0.39,0.61,0.40,0.39,0.14,0.66,
Device,1,2021/1/18,23:13:24,37,86,80,118,92,95,92,73,92,63,96,153,78,139,181,247,317,432,480,1,0.44,0.68,0.40,0.43,0.16,0.69,
Device,1,2021/1/18,23:13:26,38,86,81,121,94,98,95,73,93,64,98,156,80,142,182,255,326,437,479,1,0.44,0.69,0.40,0.43,0.16,0.69,
Device,1,2021/1/18,23:13:28,39,86,81,120,93,97,94,73,93,64,97,154,79,142,182,253,322,433,477,1,0.44,0.68,0.40,0.43,0.16,0.68,
Device,1,2021/1/18,23:13:29,40,94,89,131,101,102,98,77,98,75,99,148,80,163,206,273,308,396,431,1,0.37,0.49,0.40,0.37,0.12,0.63,
Device,1,2021/1/18,23:13:31,41,93,87,126,100,102,96,76,97,74,98,141,78,162,199,269,302,394,423,1,0.38,0.52,0.40,0.37,0.13,0.64,
