ID,,Timestamp,,Packet,AS7265X,,,,,,,,,,,,,,,,,,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
name,instance,date,time,Number,a,b,c,d,e,f,g,h,i,j,k,l,r,s,t,u,v,w,LightState,NDVIB,EVI,Threshold,NDVIB_W,EVI_W,PSND_W,
Device,1,2021/1/18,23:12:45,17,106,100,143,119,121,115,93,116,89,119,156,88,198,242,307,339,448,482,1,0.38,0.45,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:12:47,18,105,100,143,119,121,115,93,116,89,119,156,88,198,242,306,339,448,481,1,0.38,0.45,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:12:49,19,106,100,142,119,121,115,92,116,89,119,156,88,198,241,306,339,448,481,1,0.38,0.45,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:12:51,20,105,100,142,119,121,115,93,116,89,119,156,87,198,242,305,339,448,482,1,0.38,0.45,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:12:53,21,94,88,136,104,108,103,77,102,78,102,164,90,167,200,303,380,424,446,1,0.40,0.58,0.40,0.39,0.14,0.66,
Device,1,2021/1/18,23:12:55,22,90,84,129,100,103,103,77,99,68,104,168,86,154,195,285,370,468,488,1,0.44,0.68,0.40,0.43,0.16,0.70,
Device,1,2021/1/18,23:12:57,23,89,83,128,99,102,103,76,99,67,104,168,85,153,195,282,367,470,489,1,0.44,0.68,0.40,0.43,0.16,0.70,
Device,1,2021/1/18,23:12:59,24,107,101,143,121,123,118,94,118,90,122,158,88,203,245,309,345,452,489,1,0.38,0.44,0.40,0.37,0.11,0.63,
Device,1,2021/1/18,23:13:1,25,107,101,143,121,124,118,94,118,91,122,159,88,204,247,310,345,457,490,1,0.38,0.44,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:13:3,26,106,101,143,121,124,117,94,118,90,121,158,88,201,246,307,342,455,487,1,0.38,0.44,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:13:4,27,106,99,143,113,116,110,85,111,86,114,160,90,189,235,315,345,430,469,1,0.37,0.44,0.40,0.37,0.11,0.63,
Device,1,2021/1/18,23:13:6,28,89,83,128,99,102,103,77,99,68,103,168,84,154,193,276,365,466,488,1,0.44,0.68,0.40,0.43,0.16,0.70,
Device,1,2021/1/18,23:13:8,29,89,83,127,99,102,103,76,99,67,103,168,84,153,193,275,364,466,490,1,0.44,0.68,0.40,0.43,0.16,0.70,
Device,1,2021/1/18,23:13:10,30,90,83,128,100,102,103,77,99,68,103,168,86,156,193,281,371,465,482,1,0.44,0.68,0.40,0.43,0.16,0.70,
Device,1,2021/1/18,23:13:12,31,105,100,142,119,121,115,93,116,89,120,156,87,199,242,304,339,448,481,1,0.38,0.45,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:13:14,32,106,100,142,119,122,115,93,116,89,120,156,87,198,242,304,339,448,480,1,0.38,0.45,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:13:16,33,104,98,143,114,117,111,88,112,86,114,154,88,189,235,304,337,435,464,1,0.37,0.45,0.40,0.36,0.11,0.63,
Device,1,2021/1/18,23:13:18,34,90,83,129,100,102,102,77,99,69,103,168,85,157,192,278,367,459,481,1,0.44,0.67,0.40,0.43,0.16,0.69,
Device,1,2021/1/18,23:13:20,35,86,81,124,95,99,101,75,96,65,103,163,79,146,192,257,341,459,492,1,0.45,0.66,0.40,0.44,0.16,0.70,
Device,1,2021/1/18,23:13:22,36,88,82,125,99,100,102,76,98,66,103,164,83,154,190,270,362,460,488,1,0.44,0.68,0.40,0.43,0.16,0.70,
Device,1,2021/1/18,23:13:23,37,106,100,143,120,123,116,93,117,90,120,158,88,200,245,307,340,454,485,1,0.38,0.44,0.40,0.37,0.11,0.64,
Device,1,2021/1/18,23:13:25,38,104,99,141,117,120,113,91,114,88,118,154,87,196,238,302,335,444,477,1,0.38,0.46,0.40,0.37,0.12,0.64,
